route,dataset,seed,condition,original_rows,train_rows,test_rows,raw_features,rff_features,rff_gamma,outliers,rmse_joint,rmse_model_only,rmse_ridge,rmse_huber,weight_ess_joint,data_ess_joint,outlier_recall_joint,joint_iterations,joint_converged,model_only_iterations
10,Elevators,0,clean,16599,2000,3320,18,256,0.03916556895305361,0,0.0029104998950329176,0.0029462849667420982,0.002902705056372945,0.002893497824194148,0.10678682161506638,0.5053012317522881,nan,80,False,80
10,Elevators,0,contaminated_10pct,16599,2000,3320,18,256,0.03916556895305361,200,0.0029815669779189365,0.0033859518228486958,0.0033285053727172076,0.0029491926924107097,0.13225004255622197,0.49975380657451196,0.94,80,False,80
10,Elevators,1,clean,16599,2000,3320,18,256,0.04006509925677744,0,0.0030928642602000085,0.0029829281013943887,0.002951974997218474,0.003066664951618286,0.1461400684546526,0.5112079424783486,nan,80,False,80
10,Elevators,1,contaminated_10pct,16599,2000,3320,18,256,0.04006509925677744,200,0.0032648891191527658,0.0033525403093701803,0.0032841598323209895,0.003103046975861837,0.12192665918432198,0.49616992516381614,0.94,80,False,80
10,Elevators,2,clean,16599,2000,3320,18,256,0.04042990975039862,0,0.002925902569641322,0.0028956112431856402,0.0028574688923885734,0.0029159802002397786,0.1896830675833454,0.5132260384992792,nan,80,False,80
10,Elevators,2,contaminated_10pct,16599,2000,3320,18,256,0.04042990975039862,200,0.003087883784377681,0.0036048292995421055,0.003243286999656471,0.0030138093907110404,0.18374154686676325,0.5010068618300825,0.96,80,False,80
10,Elevators,3,clean,16599,2000,3320,18,256,0.04078018911710282,0,0.002702955376609083,0.0026915818508755256,0.0026995125305151416,0.002749095928543754,0.04335364371798842,0.50454498434616,nan,80,False,80
10,Elevators,3,contaminated_10pct,16599,2000,3320,18,256,0.04078018911710282,200,0.0027428359950279614,0.0030434685646377317,0.0030814249953665545,0.002778909814689185,0.0503417579707989,0.503026301602021,0.95,80,False,80
10,Elevators,4,clean,16599,2000,3320,18,256,0.04084970939280457,0,0.002985176726489486,0.0029110082300326332,0.0029040119265078615,0.003048944860561813,0.15155787557675549,0.5077697526865469,nan,80,False,80
10,Elevators,4,contaminated_10pct,16599,2000,3320,18,256,0.04084970939280457,200,0.003097677790371307,0.00341828491768771,0.00338233948294475,0.0030715102640685144,0.14779283303825472,0.4955357073163597,0.95,80,False,80
10,Elevators,5,clean,16599,2000,3320,18,256,0.041265317014817365,0,0.0029493096486242773,0.002936806985477741,0.00288486791833806,0.0029249598479613565,0.1829323911241773,0.5162947136937122,nan,80,False,80
10,Elevators,5,contaminated_10pct,16599,2000,3320,18,256,0.041265317014817365,200,0.003114925996273992,0.0034277068338691087,0.003230706203750836,0.0029802422910616124,0.19823902246491276,0.5005102872127596,0.935,80,False,80
10,Elevators,6,clean,16599,2000,3320,18,256,0.041021184935518346,0,0.0032571971742053982,0.003234945737247909,0.003177245308379353,0.003274776355582984,0.14368264935631786,0.5149056269411019,nan,80,False,80
10,Elevators,6,contaminated_10pct,16599,2000,3320,18,256,0.041021184935518346,200,0.0032269085924763797,0.0037372423403868203,0.003552509435846036,0.0032432866728080764,0.1529829947800186,0.5035361925757826,0.94,80,False,80
10,Elevators,7,clean,16599,2000,3320,18,256,0.04005923423896763,0,0.002793693435452056,0.002776715364168708,0.0027810587367304383,0.002838432917895316,0.15664364102700284,0.508487491181843,nan,80,False,80
10,Elevators,7,contaminated_10pct,16599,2000,3320,18,256,0.04005923423896763,200,0.003014297331984914,0.0032132419423606152,0.003179286067848388,0.0028795639692305716,0.14355987445869217,0.5036616674817281,0.935,80,False,80
10,Elevators,8,clean,16599,2000,3320,18,256,0.04321819509944305,0,0.002917993578856351,0.0028920263323584834,0.0028725628202330433,0.0029905562023332753,0.16422069661520303,0.511431581081502,nan,80,False,80
10,Elevators,8,contaminated_10pct,16599,2000,3320,18,256,0.04321819509944305,200,0.0031545950603633867,0.003419934934478664,0.0033726271242735823,0.0030989109647507865,0.11841366241135176,0.5055827001182929,0.945,80,False,80
10,Elevators,9,clean,16599,2000,3320,18,256,0.040044211685805686,0,0.0030010615515367375,0.0029701715140242617,0.0030005176203776606,0.003040653759761369,0.1023298448018569,0.5084746328583373,nan,80,False,80
10,Elevators,9,contaminated_10pct,16599,2000,3320,18,256,0.040044211685805686,200,0.003156483668436959,0.003400998617100742,0.003331279151963022,0.003066095849993004,0.08318597312537487,0.49926973234832145,0.95,80,False,80
