route,dataset,seed,condition,original_rows,train_rows,test_rows,raw_features,rff_features,rff_gamma,outliers,rmse_joint,rmse_model_only,rmse_ridge,rmse_huber,weight_ess_joint,data_ess_joint,outlier_recall_joint,joint_iterations,joint_converged,model_only_iterations
7,Protein,0,clean,45730,2000,9146,9,256,0.10891725729740502,0,5.949611004263625,5.048787544163962,4.888744963711275,4.920917764815569,0.1689347829007203,0.5064916548085359,nan,80,False,80
7,Protein,0,contaminated_10pct,45730,2000,9146,9,256,0.10891725729740502,200,5.581439488531664,5.218718345150343,5.026001843339607,4.919835264265511,0.19256489179806965,0.5034814607463132,0.82,80,False,80
7,Protein,1,clean,45730,2000,9146,9,256,0.09859314137470333,0,6.357181653084546,5.342142690194528,4.960738876796406,5.025381238411359,0.2073054965682573,0.49989421209478674,nan,80,False,80
7,Protein,1,contaminated_10pct,45730,2000,9146,9,256,0.09859314137470333,200,7.280707470800017,5.427410401205453,5.02337567328371,5.030495090005683,0.15400645296875762,0.5011706857516203,0.795,80,False,80
7,Protein,2,clean,45730,2000,9146,9,256,0.12018528995074158,0,5.180425565584103,4.886460628736895,4.8117299719093225,4.889465491192027,0.23546231271495907,0.5095940109270501,nan,80,False,80
7,Protein,2,contaminated_10pct,45730,2000,9146,9,256,0.12018528995074158,200,5.4778620553278135,5.011898913609178,4.907098461281641,4.896270830281109,0.20065794707058487,0.4993028173096469,0.795,80,False,80
7,Protein,3,clean,45730,2000,9146,9,256,0.11020970371419749,0,5.72912278089877,5.046718455809856,4.8745611216090134,4.923119138194394,0.24067027970523,0.5164876867328584,nan,80,False,80
7,Protein,3,contaminated_10pct,45730,2000,9146,9,256,0.11020970371419749,200,6.295502109797745,5.108042032980275,5.082401435015667,4.9156107951765255,0.19653535522404217,0.5017996720840097,0.81,80,False,80
7,Protein,4,clean,45730,2000,9146,9,256,0.10380199177530156,0,6.38954354490624,4.972204249783607,4.771208828342532,4.824734108145943,0.13612421116930404,0.5096845497922686,nan,80,False,80
7,Protein,4,contaminated_10pct,45730,2000,9146,9,256,0.10380199177530156,200,5.916448247692274,4.949463062417199,5.007618508570172,4.848880895008632,0.11724483624574251,0.4960121675550585,0.805,80,False,80
7,Protein,5,clean,45730,2000,9146,9,256,0.11209196493950391,0,5.441600093687542,4.9939103740803565,4.899597666203443,4.9370886542838255,0.20016939157856792,0.5090966212258676,nan,80,False,80
7,Protein,5,contaminated_10pct,45730,2000,9146,9,256,0.11209196493950391,200,5.6377664071190985,5.025288869562498,4.974378132957452,4.907545397081149,0.16104619190108335,0.49846652653241325,0.82,80,False,80
7,Protein,6,clean,45730,2000,9146,9,256,0.09398635558354182,0,5.736421332340903,5.007405572707432,4.90645633299473,4.951727281581628,0.22068445090039096,0.5055209322026384,nan,80,False,80
7,Protein,6,contaminated_10pct,45730,2000,9146,9,256,0.09398635558354182,200,5.723744484497004,5.218533529000947,5.035750824737867,4.9848638248852355,0.20211039950166002,0.49543315042963904,0.8,80,False,80
7,Protein,7,clean,45730,2000,9146,9,256,0.10270552549759787,0,7.7653135241538,5.163859631938112,4.896828108552703,4.949236968671896,0.1863700932968895,0.5083224460744259,nan,80,False,80
7,Protein,7,contaminated_10pct,45730,2000,9146,9,256,0.10270552549759787,200,8.014999820943222,5.139305274412785,4.995038193811953,4.956533502085192,0.20664280297092327,0.4996327809373474,0.815,80,False,80
7,Protein,8,clean,45730,2000,9146,9,256,0.09600507412494713,0,5.764849614816286,5.226632289730995,4.902396496694515,4.989367935423216,0.21315472925445492,0.5046594072783428,nan,80,False,80
7,Protein,8,contaminated_10pct,45730,2000,9146,9,256,0.09600507412494713,200,5.751945413571797,4.981143085519582,4.982394539403939,4.971331688763005,0.22010253647005126,0.5017182148400936,0.85,80,False,80
7,Protein,9,clean,45730,2000,9146,9,256,0.11160715642254,0,5.685917462805502,5.042320091252384,4.846958258695555,4.907375750593959,0.2787762470504745,0.5043124403923106,nan,80,False,80
7,Protein,9,contaminated_10pct,45730,2000,9146,9,256,0.11160715642254,200,5.87353299495075,5.010613540836046,4.963430823841881,4.9430994196435725,0.21179909596139004,0.502651609284104,0.795,80,False,80
