route,dataset,seed,condition,original_rows,train_rows,test_rows,raw_features,rff_features,rff_gamma,outliers,rmse_joint,rmse_model_only,rmse_ridge,rmse_huber,weight_ess_joint,data_ess_joint,outlier_recall_joint,joint_iterations,joint_converged,model_only_iterations
9,Kin8nm,0,clean,8192,2000,1639,8,256,0.0681781376928752,0,0.13532437949721185,0.13312442047091827,0.13093321106975966,0.13804216369449096,0.28743672203053944,0.5143141454319798,nan,80,False,80
9,Kin8nm,0,contaminated_10pct,8192,2000,1639,8,256,0.0681781376928752,200,0.14017123885374844,0.15181619546621528,0.1497015658262837,0.13918598736099244,0.28085089931581175,0.5046520768274799,0.935,80,False,80
9,Kin8nm,1,clean,8192,2000,1639,8,256,0.06580759599794139,0,0.13406181083626678,0.130750574806498,0.1297627017948923,0.13979517348615955,0.17798300507560144,0.508061582012532,nan,80,False,80
9,Kin8nm,1,contaminated_10pct,8192,2000,1639,8,256,0.06580759599794139,200,0.14151723671102318,0.153778977914321,0.15557778122890756,0.1429401198067617,0.16378749110052954,0.5010135301665055,0.9,80,False,80
9,Kin8nm,2,clean,8192,2000,1639,8,256,0.06621625476322786,0,0.14651530375253322,0.14093178706305126,0.13954613321813822,0.15197010275932601,0.19496608038505248,0.5063041771812417,nan,80,False,80
9,Kin8nm,2,contaminated_10pct,8192,2000,1639,8,256,0.06621625476322786,200,0.1460036212831316,0.15658879957313257,0.1600204275135092,0.15217918569891273,0.18332290934679898,0.5015506599291802,0.92,80,False,80
9,Kin8nm,3,clean,8192,2000,1639,8,256,0.06412429922519607,0,0.1390630684769079,0.136909562297499,0.13589071242604203,0.1411901367434607,0.13856942095285849,0.5111325856232012,nan,80,False,80
9,Kin8nm,3,contaminated_10pct,8192,2000,1639,8,256,0.06412429922519607,200,0.1463745480520482,0.15852746747960741,0.15923046430822574,0.14400270443786048,0.15307436928168527,0.5007352578744105,0.875,80,False,80
9,Kin8nm,4,clean,8192,2000,1639,8,256,0.06589529169714782,0,0.14116171390997873,0.13696653687062407,0.13625025551122433,0.1496994269184689,0.19870173119870424,0.5113243001122004,nan,80,False,80
9,Kin8nm,4,contaminated_10pct,8192,2000,1639,8,256,0.06589529169714782,200,0.14800460130267665,0.16037438582588595,0.15813540159575357,0.1504482213264529,0.16826535341093682,0.5020052198941446,0.925,80,False,80
9,Kin8nm,5,clean,8192,2000,1639,8,256,0.06662904334995261,0,0.13424222618232545,0.13223662162575003,0.13246375412144815,0.14054460310485425,0.1787453905053421,0.5099638457375003,nan,80,False,80
9,Kin8nm,5,contaminated_10pct,8192,2000,1639,8,256,0.06662904334995261,200,0.13820974682188325,0.15227307329490344,0.15516056656258423,0.14208910760907537,0.20591773794410317,0.5039390445707943,0.945,80,False,80
9,Kin8nm,6,clean,8192,2000,1639,8,256,0.06503788170326325,0,0.1311971373234765,0.1301323988082397,0.13004414345783044,0.13601169813828407,0.1807368540593739,0.5087677488740545,nan,80,False,80
9,Kin8nm,6,contaminated_10pct,8192,2000,1639,8,256,0.06503788170326325,200,0.13533749776069603,0.1525592905413539,0.15161655958672435,0.13857003828879852,0.1829972818969684,0.49671945551400587,0.94,80,False,80
9,Kin8nm,7,clean,8192,2000,1639,8,256,0.06449893374669943,0,0.13761543167806178,0.13350422961270916,0.13281799873420894,0.139982794049492,0.20575276661267244,0.509087533415932,nan,80,False,80
9,Kin8nm,7,contaminated_10pct,8192,2000,1639,8,256,0.06449893374669943,200,0.14070897877096725,0.154669770321131,0.15329988975624456,0.14104109485509608,0.21048691680015072,0.49947698263432677,0.91,80,False,80
9,Kin8nm,8,clean,8192,2000,1639,8,256,0.06666680637217746,0,0.1543130614880433,0.1451749748096287,0.1460907417884915,0.15626560360974023,0.18284975903428424,0.5108783902642752,nan,80,False,80
9,Kin8nm,8,contaminated_10pct,8192,2000,1639,8,256,0.06666680637217746,200,0.1585150630610384,0.16079930397314446,0.1619447522691316,0.15696462767230335,0.1636640947380941,0.5036575531480757,0.915,80,False,80
9,Kin8nm,9,clean,8192,2000,1639,8,256,0.06524274372125845,0,0.13661760484216753,0.13292674590516798,0.1322163120606794,0.13711977665391592,0.16650292988571197,0.5099327055001949,nan,80,False,80
9,Kin8nm,9,contaminated_10pct,8192,2000,1639,8,256,0.06524274372125845,200,0.1419533048616217,0.1521500916825438,0.15210443390439005,0.14010101053504553,0.18178939323258364,0.5012868419796245,0.925,80,False,80
